"TimeCreated","Id","Message"
"10/13/2025 3:52:19 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:46:16Z. Reason: RulesEngine."
"10/13/2025 3:49:41 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 3:49:34 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:33Z. Reason: RulesEngine."
"10/13/2025 3:48:59 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 3:47:15 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:46:14Z. Reason: RulesEngine."
"10/13/2025 3:46:36 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 3:39:51 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:48Z. Reason: RulesEngine."
"10/13/2025 3:38:39 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 3:33:22 AM","15","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON."
"10/13/2025 3:29:47 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:46Z. Reason: RulesEngine."
"10/13/2025 3:28:53 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 3:28:47 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:46Z. Reason: RulesEngine."
"10/13/2025 3:28:08 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 3:24:58 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:55Z. Reason: RulesEngine."
"10/13/2025 3:23:46 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 3:22:42 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:42Z. Reason: RulesEngine."
"10/13/2025 3:22:11 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 3:21:30 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:29Z. Reason: RulesEngine."
"10/13/2025 3:20:59 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 3:20:48 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:48Z. Reason: RulesEngine."
"10/13/2025 3:20:15 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 3:19:45 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:44Z. Reason: RulesEngine."
"10/13/2025 3:19:11 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 3:18:33 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:32Z. Reason: RulesEngine."
"10/13/2025 3:17:26 AM","16394","Offline downlevel migration succeeded."
